frame,si,ti
363,114.0786,1.164
364,114.0834,1.0106
365,114.0871,0.9953
366,114.0869,1.0128
367,114.0888,0.9739
368,114.0888,1.0436
369,114.0889,1.035
370,114.09,1.0527
371,114.0887,1.2159
372,114.1436,1.374
373,114.1599,1.6588
374,114.1665,1.7124
375,114.1745,1.6782
376,114.1825,1.7161
377,114.1891,1.7606
378,114.1956,1.7358
379,114.203,1.731
380,114.2628,1.9973
381,114.2581,2.2562
382,114.2667,2.4501
383,114.277,2.4642
384,114.2807,2.4554
385,114.287,2.4672
386,114.2985,2.4818
387,114.3052,2.5048
388,114.3107,2.5781
389,114.3174,2.496
390,114.3227,2.5075
391,114.3238,1.0174
392,114.3238,0.9954
393,114.324,1.0978
394,114.324,1.0721
395,114.3249,1.067
396,114.3237,1.1053
397,114.3232,1.2264
398,114.3237,1.0095
399,114.3252,1.0124
400,114.3262,1.0484
401,114.3264,0.9955
402,114.3331,1.0821
403,114.3354,1.1381
404,114.3368,1.1065
405,114.3324,1.3062
406,114.3363,1.2005
407,114.341,1.1665
408,114.341,1.2075
409,114.3423,1.2053
410,114.3481,1.2443
411,114.3572,1.3606
412,114.3584,1.3853
413,114.3593,1.4158
414,114.3573,1.4945
415,114.3551,1.3793
416,114.3553,1.3993
417,114.3568,1.3847
418,114.355,1.3634
419,114.3583,1.4628
420,114.3584,1.3967
421,114.3594,1.3864
422,114.3555,1.5458
423,114.3545,1.3142
424,114.3529,1.367
425,114.3533,1.3452
426,114.3559,1.3472
427,114.3545,1.4107
428,114.3542,1.348
429,114.3552,1.3483
430,114.3545,1.2989
431,114.3533,1.3994
432,114.3543,1.4603
433,114.3534,1.4476
434,114.3535,1.4377
435,114.3557,1.4232
436,114.3535,1.4912
437,114.3515,1.4352
438,114.3502,1.4607
439,114.3491,1.5446
440,114.351,1.2917
441,114.3518,1.3405
442,114.3506,1.3818
443,114.3515,1.3428
444,114.3505,1.4119
445,114.3504,1.3761
446,114.3509,1.371
447,114.3527,1.3476
448,114.3521,1.4755
449,114.3517,1.3612
450,114.354,1.3642
451,114.3522,1.3735
452,114.3527,1.3384
453,114.3542,1.3877
454,114.3502,1.3423
455,114.3493,1.368
456,114.3501,1.4628
457,114.3507,1.2823
458,114.3493,1.3674
459,114.3519,1.344
460,114.3506,1.306
461,114.3487,1.3794
462,114.3503,1.3345
463,114.349,1.3152
464,114.3497,1.3173
465,114.3491,1.3844
466,114.3484,1.2884
467,114.3459,1.3085
468,114.3483,1.2828
469,114.3515,1.2714
470,114.348,1.2959
471,114.346,1.6706
472,114.3395,2.8984
473,114.3255,2.948
474,114.3203,2.8737
475,114.3145,2.9718
476,114.3112,2.8838
477,114.3054,2.889
478,114.299,2.8928
479,114.2927,2.7255
480,114.287,2.8055
481,114.2926,2.6812
482,114.2351,2.5
483,114.2267,2.2471
484,114.2203,2.1443
485,114.2145,2.1024
486,114.201,2.2294
487,114.195,1.8629
488,114.1898,2.1966
489,114.1863,2.2187
490,114.1748,2.1693
491,114.113,1.8998
492,114.0545,2.0024
493,114.0715,1.1921
494,114.0884,1.2329
495,114.1064,1.3221
496,114.1084,1.3197
497,114.1079,1.3565
498,114.1092,1.4056
499,114.1097,1.3644
500,114.1078,1.5048
501,114.1104,1.3717
502,114.1096,1.3819
503,114.1111,1.3974
504,114.115,1.3576
505,114.1131,1.4307
506,114.1141,1.4411
507,114.1149,1.4429
508,114.1141,1.454
509,114.112,1.5402
510,114.112,1.4098
511,114.1129,1.4015
512,114.112,1.4188
513,114.1155,1.3543
514,114.1148,1.4403
515,114.1145,1.4247
516,114.1167,1.4413
517,114.1124,1.5374
518,114.1117,1.4046
519,114.114,1.4096
520,114.1105,1.3812
521,114.1129,1.3202
522,114.1153,1.3721
523,114.1176,1.4124
524,114.1236,1.3605
525,114.1294,1.7498
526,114.1077,2.1131
527,114.1074,1.8823
528,114.1109,1.9349
529,114.1329,1.4854
530,114.1852,1.9003
531,114.2391,2.4212
532,114.2869,2.7684
533,114.3243,3.0731
534,114.3541,3.3887
535,114.3916,3.5564
536,114.4268,3.7217
537,114.4656,3.9124
538,114.5025,4.0261
539,114.5271,4.1646
540,114.5736,4.2715
541,114.5949,4.3136
542,114.6276,4.3675
543,114.6387,4.4378
544,114.6735,4.3896
545,114.7081,4.3976
546,114.7145,4.3809
547,114.7519,4.3744
548,114.7856,4.3801
549,114.7912,4.4166
550,114.8133,4.3815
551,114.8319,4.3833
552,114.8337,4.3689
553,114.8731,4.5504
554,114.8917,4.5017
555,114.8873,4.4362
556,114.938,4.5265
557,114.9426,4.4451
558,114.9564,4.4572
559,114.9718,4.4925
560,114.9684,2.0178
561,114.9708,1.9602
562,114.9699,1.9162
563,114.9662,1.9386
564,114.9687,1.8918
565,114.9737,1.9485
566,114.969,1.9522
567,114.9696,1.4182
568,114.9689,1.5311
569,114.9616,1.8007
570,114.9562,1.306
571,114.9546,1.2518
572,114.9529,1.212
573,114.9506,1.2462
574,114.9536,1.2813
575,114.9513,1.2768
576,114.9494,1.3013
577,114.948,1.3765
578,114.945,1.2617
579,114.9483,1.2276
580,114.9483,1.2428
581,114.9503,1.1975
582,115.0099,1.5246
583,115.0434,1.5721
584,115.2662,2.6892
585,115.3367,2.1635
586,115.3586,1.6773
587,115.3627,1.2918
588,115.363,1.6501
589,115.3665,1.2208
590,115.3613,1.5838
591,115.359,1.2717
592,115.3613,0.9549
593,115.3615,1.0339
594,115.3617,1.0085
595,115.3601,1.0825
596,115.3615,1.0608
597,115.36,1.103
598,115.3585,1.1587
599,115.3623,1.0662
600,115.3617,1.0646
601,115.3634,1.0611
602,115.3656,1.0325
603,115.3665,1.0618
604,115.3617,1.2794
605,115.3705,1.1378
606,115.3679,1.1063
607,115.3687,1.2384
608,115.3665,1.1399
609,115.3651,1.0432
610,115.3635,1.0868
611,115.3651,1.0555
612,115.3644,1.0929
613,115.3662,1.1041
614,115.3651,1.1547
615,115.3626,1.2571
616,115.3629,1.1589
617,115.3629,0.9929
618,115.3636,1.094
619,115.3698,1.0482
620,115.3686,1.5152
621,115.3694,1.2228
622,115.3704,1.0393
623,115.3724,1.1144
624,115.3661,1.302
625,115.3673,1.1012
626,115.3663,1.1322
627,115.368,1.0951
628,115.3672,1.0935
629,115.3664,1.1155
630,115.3646,1.1145
631,115.3679,1.1484
632,115.3705,1.6542
633,115.3707,1.0845
634,115.3718,1.1376
635,115.3742,1.0663
636,115.3729,1.0577
637,115.3753,1.1587
638,115.373,1.1518
639,115.3719,1.1677
640,115.3669,1.1873
641,115.3635,1.6256
642,115.3619,1.0987
643,115.3685,1.1045
644,115.3682,1.1277
645,115.3716,1.0826
646,115.3692,1.1559
647,115.374,1.1522
648,115.3727,1.1463
649,115.3722,1.3126
650,115.371,1.1391
651,115.3703,1.1621
652,115.3236,1.3952
653,115.3369,1.1114
654,115.3465,1.1393
655,115.3637,1.1478
656,115.3616,1.1073
657,115.3629,1.1662
658,115.3628,1.2603
659,115.3619,1.0743
660,115.3614,1.1168
661,115.3644,1.1069
662,115.3666,1.0854
663,115.3661,1.1556
664,115.3673,1.1299
665,115.3659,1.1196
666,115.3623,1.3222
667,115.362,1.0561
668,115.3618,1.0597
669,115.3607,1.0697
670,115.3607,1.0518
671,115.3605,1.041
672,115.3626,1.0715
673,115.3642,1.0985
674,115.3636,1.1197
675,115.3615,1.2092
676,115.3614,1.4795
677,115.3588,1.0446
678,115.3634,1.0742
